Species,Type,DistanceToNearestRiver,Aspect Eastness,Aspect Northness,Elevation,Latitude,BIOEnd12,Slope,pH,BIOEnd1,WindExposition,BIOEnd3,RedDeer,BIOEnd7,BIOEnd15,Model
Pittosporum eugenioides,Gr,-307.8385,-0.5627,0.0950,289.0608,3.4900,1072.2821,8.6850,-0.5931,0.1437,0.0707,-0.0320,-1.0022,-1.1777,-8.4005,RFEnsemble
Fuscospora solandri,D,1338.6863,-0.1576,0.0199,223.2171,-40.9527,1863.9852,7.6461,5.1769,12.9249,0.9536,0.4679,-0.2400,20.5115,46.7641,RFEnsemble
Fuscospora solandri,Is,1233.2412,0.7345,0.6680,396.2568,2.9276,658.9603,9.7364,0.4274,2.4128,0.1039,0.0358,0.8904,2.3002,9.2236,RFEnsemble
Fuscospora solandri,Ds,1340.8540,0.7022,0.6940,190.9787,2.6313,975.2764,7.5784,0.5328,1.5953,0.0952,0.0204,0.9708,2.0050,8.8871,RFEnsemble
Fuscospora solandri,I,1576.4768,0.0969,-0.0695,762.5170,-42.2411,1511.3529,16.8572,5.2043,9.9757,1.0772,0.4268,-0.4553,20.0507,42.9584,RFEnsemble
Fuscospora solandri,Gr,237.7905,0.2544,-0.0893,539.2999,-1.2884,-352.6323,9.2111,0.0274,-2.9492,0.1236,-0.0411,-0.2152,-0.4609,-3.8057,RFEnsemble
Leptospermum scoparium,D,1735.6355,-0.1774,0.0724,147.0043,-38.7431,1650.6501,7.2760,5.3498,14.3937,0.9876,0.4633,0.4392,18.5830,47.0732,RFEnsemble
Leptospermum scoparium,Is,1311.7662,0.6928,0.7090,358.7207,2.3044,1166.2159,11.0633,0.5483,1.9029,0.1078,0.0376,0.8855,2.3714,10.4339,RFEnsemble
Leptospermum scoparium,Ds,2029.9069,0.7326,0.6531,128.4418,3.2464,526.7933,5.5788,0.3602,1.8003,0.1031,0.0230,0.8984,1.9204,7.6489,RFEnsemble
Leptospermum scoparium,I,1478.7832,0.0920,-0.0941,586.7993,-42.5654,1691.6641,14.5803,5.1820,10.6286,1.0262,0.4425,-0.4642,20.8651,45.8709,RFEnsemble
Leptospermum scoparium,Gr,-256.8523,0.2694,-0.1665,439.7950,-3.8223,41.0139,7.3043,-0.1678,-3.7651,0.0386,-0.0208,-0.9033,2.2821,-1.2023,RFEnsemble
Kunzea ericoides,D,2704.4661,0.2191,0.0148,375.4209,-39.7123,1328.7766,12.9174,5.3585,13.0385,0.9980,0.4548,-0.1442,20.0141,50.9073,RFEnsemble
Kunzea ericoides,Is,1263.1438,0.6755,0.7343,372.6653,3.0638,774.0578,9.2056,0.4986,2.3162,0.1129,0.0322,0.9870,2.1395,8.6315,RFEnsemble
Kunzea ericoides,Ds,3571.7432,0.7956,0.5646,275.1205,2.8514,418.2751,9.9542,0.4031,2.4048,0.0889,0.0204,0.9895,2.7474,8.5346,RFEnsemble
Kunzea ericoides,I,1377.1266,-0.0467,-0.0479,432.0844,-41.7091,1609.8416,10.9044,5.2409,11.6595,1.0130,0.4521,-0.1624,20.1704,44.5875,RFEnsemble
Kunzea ericoides,Gr,-1327.3395,-0.2658,-0.0627,56.6636,-1.9967,281.0649,-2.0130,-0.1176,-1.3790,0.0150,-0.0027,-0.0182,0.1563,-6.3198,RFEnsemble
Coprosma robusta,D,1758.2903,0.0294,0.1074,160.7514,-37.4529,1581.3680,7.3255,5.4067,14.9330,0.9745,0.4639,0.3663,18.9993,48.9896,RFEnsemble
Coprosma robusta,Is,1367.4135,0.7048,0.6983,346.9310,2.3833,728.6357,9.5115,0.5248,1.7847,0.1017,0.0309,0.9810,2.1209,9.7323,RFEnsemble
Coprosma robusta,Ds,2360.7358,0.7162,0.6889,192.8963,1.6685,374.7446,6.9025,0.2987,1.4797,0.1073,0.0240,0.9305,2.1417,6.6017,RFEnsemble
Coprosma robusta,I,1475.6410,0.0126,-0.1240,462.9123,-42.8074,1392.7059,11.3190,5.2883,11.0811,1.0125,0.4546,-0.1948,20.7595,46.6121,RFEnsemble
Coprosma robusta,Gr,-282.6493,-0.0168,-0.2314,302.1608,-5.3545,-188.6621,3.9935,-0.1184,-3.8518,0.0380,-0.0093,-0.5612,1.7602,-2.3776,RFEnsemble
Leucopogon fasciculatus,D,4391.1162,-0.2042,0.1578,135.4720,-38.0285,1678.0037,6.3215,5.3479,14.7364,0.9653,0.4609,0.3828,18.7426,47.0608,RFEnsemble
Leucopogon fasciculatus,Is,1004.8768,0.7320,0.6795,343.6367,2.8902,715.0006,9.4806,0.4902,2.2671,0.1121,0.0298,0.9597,2.1420,8.8621,RFEnsemble
Leucopogon fasciculatus,Ds,3967.7468,0.6139,0.7460,144.3800,2.0173,482.9440,5.6250,0.3329,1.5346,0.0731,0.0196,0.9238,2.1155,7.1569,RFEnsemble
Leucopogon fasciculatus,I,1288.5557,0.0403,-0.0296,463.4144,-41.1926,1556.4662,12.3818,5.2368,11.8042,1.0240,0.4515,-0.2792,20.2849,46.1599,RFEnsemble
Leucopogon fasciculatus,Gr,-3102.5605,0.2445,-0.1874,327.9424,-3.1641,-121.5375,6.0603,-0.1111,-2.9322,0.0587,-0.0094,-0.6620,1.5422,-0.9009,RFEnsemble
Cyathea smithii,D,1069.8246,0.0240,0.0535,116.7328,-37.7828,1695.4143,6.9943,5.4075,14.8843,0.9244,0.4729,0.4267,19.6708,48.6885,RFEnsemble
Cyathea smithii,Is,1256.0803,0.7033,0.7107,303.7250,2.9085,1219.3734,9.9010,0.5268,1.9155,0.1053,0.0329,0.8719,2.2482,8.1636,RFEnsemble
Cyathea smithii,Ds,1092.4174,0.7859,0.6156,85.6451,1.5976,442.5539,6.1876,0.2303,0.9655,0.0666,0.0157,0.9044,1.4349,6.7377,RFEnsemble
Cyathea smithii,I,1514.5973,-0.0127,-0.0140,487.5285,-41.6031,1979.7653,13.9102,5.0765,11.4092,1.0424,0.4438,-0.4893,19.4963,42.9645,RFEnsemble
Cyathea smithii,Gr,444.7727,-0.0366,-0.0675,370.7957,-3.8203,284.3510,6.9159,-0.3310,-3.4751,0.1180,-0.0292,-0.9160,-0.1745,-5.7240,RFEnsemble
Myrsine divaricata,D,1603.9860,0.0974,0.0760,420.5369,-44.2837,1928.6443,10.4487,4.5989,10.2936,1.0040,0.4572,-0.5567,19.2142,37.9907,RFEnsemble
Myrsine divaricata,Is,1455.3020,0.7048,0.7077,364.4785,2.7541,1259.3116,10.3133,0.4683,2.2510,0.1094,0.0381,0.8985,2.0898,8.9005,RFEnsemble
Myrsine divaricata,Ds,1312.4257,0.7723,0.6232,343.6128,2.6177,800.1879,8.9357,0.5228,0.9661,0.1098,0.0254,0.8307,2.5822,5.4723,RFEnsemble
Myrsine divaricata,I,1414.8584,-0.0194,-0.0457,508.0807,-41.7413,1932.2477,14.4421,5.1919,11.3172,1.0256,0.4433,-0.4391,20.0047,44.2802,RFEnsemble
Myrsine divaricata,Gr,-189.1276,-0.1167,-0.1217,87.5439,2.5424,3.6034,3.9934,0.5930,1.0236,0.0216,-0.0138,0.1176,0.7905,6.2896,RFEnsemble
Dracophyllum longifolium,D,1562.6638,-0.0975,-0.0519,329.7469,-41.4443,1490.0249,8.5730,5.3275,12.2888,1.0486,0.4612,-0.0738,19.7398,45.3942,RFEnsemble
Dracophyllum longifolium,Is,1149.2838,0.7454,0.6583,428.2920,2.3120,1645.7489,11.2338,0.5222,2.2207,0.1333,0.0430,0.7171,2.3693,9.1130,RFEnsemble
Dracophyllum longifolium,Ds,1022.1798,0.6692,0.7348,236.6362,3.3848,617.5286,6.3034,0.4133,2.0491,0.0763,0.0249,0.9973,2.0781,7.9881,RFEnsemble
Dracophyllum longifolium,I,1244.0269,0.1004,-0.0301,719.2297,-42.6116,2595.1882,20.2001,4.9232,9.8924,1.0157,0.4232,-0.6970,19.9706,40.8499,RFEnsemble
Dracophyllum longifolium,Gr,-318.6370,0.1979,0.0218,389.4829,-1.1673,1105.1633,11.6271,-0.4043,-2.3964,-0.0330,-0.0380,-0.6233,0.2308,-4.5443,RFEnsemble
Didymocheton spectabilis,D,1204.0229,0.2579,-0.0818,251.0489,-36.9757,1885.5162,10.1810,5.2665,14.6877,1.0282,0.4539,0.4151,17.6655,47.0691,RFEnsemble
Didymocheton spectabilis,Is,1928.7043,0.6905,0.7101,186.5719,1.4769,311.7005,6.7470,0.2514,1.2241,0.1038,0.0224,0.9984,1.8020,6.7968,RFEnsemble
Didymocheton spectabilis,Ds,1091.5795,0.6794,0.6821,167.5983,1.8984,434.2174,6.7559,0.3378,1.6489,0.1021,0.0230,0.9098,1.7219,6.7214,RFEnsemble
Didymocheton spectabilis,I,1786.1652,-0.1354,0.0231,221.7164,-39.0739,1408.1196,7.8655,5.4776,13.8960,0.9934,0.4595,-0.0558,19.6636,48.4846,RFEnsemble
Didymocheton spectabilis,Gr,582.1422,-0.3933,0.1048,-29.3325,-2.0981,-477.3966,-2.3155,0.2111,-0.7917,-0.0349,0.0055,-0.4709,1.9981,1.4155,RFEnsemble
Rubus cissoides,D,1486.3177,0.0017,-0.0281,404.8416,-41.3440,1644.3124,11.3039,5.2713,11.9884,1.0089,0.4529,-0.1584,20.0447,45.8183,RFEnsemble
Rubus cissoides,Is,879.6334,0.7206,0.5389,268.5002,1.9892,1525.3948,12.4063,0.3104,1.6622,0.0976,0.0246,0.5982,1.3067,7.6580,RFEnsemble
Rubus cissoides,Ds,1363.6823,0.7116,0.7020,355.4170,3.1574,958.8671,9.5601,0.4730,2.4303,0.1085,0.0337,0.9872,2.2885,9.1409,RFEnsemble
Rubus cissoides,I,1215.5071,0.4359,0.0165,920.5829,-43.0012,3818.8943,26.6845,4.5209,8.9009,1.0559,0.4101,-0.8014,19.9869,39.5739,RFEnsemble
Rubus cissoides,Gr,-270.8107,0.4342,0.0446,515.7414,-1.6572,2174.5820,15.3806,-0.7504,-3.0875,0.0470,-0.0428,-0.6430,-0.0578,-6.2444,RFEnsemble
Pennantia corymbosa,D,1954.2853,0.1391,0.6019,321.6054,-40.2889,1605.3353,6.4308,5.2594,12.8206,1.0198,0.4598,0.2301,19.6118,44.4822,RFEnsemble
Pennantia corymbosa,Is,1232.0427,0.7692,0.6162,298.9330,2.7452,1063.5770,9.3641,0.4952,1.9968,0.1027,0.0287,0.9522,2.2290,9.3770,RFEnsemble
Pennantia corymbosa,Ds,1986.8011,0.4535,0.6424,388.3532,3.8781,827.4309,7.5150,0.4382,3.0359,0.1224,0.0296,0.9732,2.1580,8.1999,RFEnsemble
Pennantia corymbosa,I,1318.4542,-0.0682,-0.1549,413.1906,-41.3154,1724.6494,12.5587,5.2447,11.9593,1.0001,0.4519,-0.3057,20.2553,46.5427,RFEnsemble
Pennantia corymbosa,Gr,-635.8311,-0.2073,-0.7568,91.5852,-1.0264,119.3141,6.1279,-0.0147,-0.8613,-0.0197,-0.0080,-0.5358,0.6434,2.0606,RFEnsemble
Aristotelia serrata,D,1361.1239,0.1385,0.0830,247.1568,-40.6918,1590.3428,5.7047,5.3745,12.8779,0.9691,0.4672,-0.0991,20.3692,47.5405,RFEnsemble
Aristotelia serrata,Is,1276.5205,0.7179,0.6796,376.4134,3.1708,1393.5117,9.5527,0.5196,2.5788,0.1052,0.0369,0.9069,2.4901,8.8925,RFEnsemble
Aristotelia serrata,Ds,1289.4625,0.7293,0.6648,226.6607,2.7261,801.2159,6.1723,0.4190,1.5848,0.0984,0.0200,0.9951,1.8493,8.6499,RFEnsemble
Aristotelia serrata,I,1559.5668,-0.1455,-0.0391,661.6068,-42.2364,2132.5674,20.0899,4.9805,10.5232,1.0595,0.4279,-0.4213,19.6426,42.5979,RFEnsemble
Aristotelia serrata,Gr,198.4429,-0.2840,-0.1221,414.4500,-1.5447,542.2246,14.3852,-0.3940,-2.3547,0.0904,-0.0393,-0.3222,-0.7267,-4.9426,RFEnsemble
Myrsine australis,D,3443.4399,-0.3503,0.6982,431.8716,-40.6811,1351.6331,17.2202,5.6501,12.7805,1.1492,0.4293,-0.8639,18.0263,49.3941,RFEnsemble
Myrsine australis,Is,1520.9523,0.7157,0.6980,312.2293,3.1509,1009.6203,9.4956,0.4976,2.2472,0.1055,0.0296,0.9879,2.1756,8.9211,RFEnsemble
Myrsine australis,Ds,2865.4932,0.4640,0.4177,174.7208,2.0339,717.3795,6.1075,0.2943,0.9792,0.0740,0.0284,0.5037,2.3248,7.6098,RFEnsemble
Myrsine australis,I,1472.8031,0.0061,-0.0240,377.9365,-41.1190,1714.6827,10.9502,5.2345,12.1818,1.0031,0.4550,-0.1532,19.9874,45.8120,RFEnsemble
Myrsine australis,Gr,-1970.6368,0.3565,-0.7222,-53.9351,-0.4379,363.0497,-6.2700,-0.4156,-0.5987,-0.1461,0.0257,0.7107,1.9611,-3.5821,RFEnsemble
Pseudopanax colensoi,D,2186.2793,0.0627,0.4508,1062.0999,-43.2281,3668.0942,28.3548,4.7646,8.1939,1.2152,0.3393,-0.9175,15.7477,34.5257,RFEnsemble
Pseudopanax colensoi,Is,1054.7792,0.7253,0.6841,369.3584,2.6476,1207.6403,10.1063,0.4890,2.1878,0.1079,0.0325,0.8323,1.9506,7.8924,RFEnsemble
Pseudopanax colensoi,Ds,1438.3125,0.6370,0.6222,319.8637,3.0681,1572.9172,8.1546,0.3396,2.0179,0.0774,0.0455,0.3977,2.1256,5.5617,RFEnsemble
Pseudopanax colensoi,I,1367.8827,-0.0455,-0.0615,538.3875,-41.6638,2057.6873,14.6718,5.0771,11.1336,1.0290,0.4422,-0.5542,19.9210,42.2729,RFEnsemble
Pseudopanax colensoi,Gr,-818.3966,-0.1082,-0.5123,-523.7124,1.5643,-1610.4070,-13.6829,0.3125,2.9396,-0.1862,0.1029,0.3633,4.1733,7.7472,RFEnsemble
Fuscospora cliffortioides,D,1421.0916,-0.1149,-0.0444,642.7842,-43.3953,1627.3275,13.6969,5.1089,9.8812,1.0318,0.4424,-0.3559,20.5424,41.7121,RFEnsemble
Fuscospora cliffortioides,Is,1077.7800,0.6270,0.7624,244.5383,2.3738,1518.4832,9.0564,0.4952,1.4817,0.1190,0.0417,0.6683,2.4114,8.4998,RFEnsemble
Fuscospora cliffortioides,Ds,1017.2157,0.7573,0.6414,428.6817,2.6058,848.0694,11.1135,0.5467,1.9513,0.1083,0.0375,0.9345,1.9485,8.0588,RFEnsemble
Fuscospora cliffortioides,I,1369.6216,0.1573,0.0316,445.7943,-41.4901,2442.8481,17.2732,5.0238,11.6819,1.0358,0.4384,-0.7439,19.3967,42.3756,RFEnsemble
Fuscospora cliffortioides,Gr,-51.4700,0.2722,0.0760,-196.9898,1.9052,815.5206,3.5763,-0.0851,1.8006,0.0040,-0.0040,-0.3880,-1.1457,0.6635,RFEnsemble
Metrosideros umbellata,D,1526.9547,0.0470,0.0715,295.5351,-41.4126,1401.7820,10.8966,5.3872,12.5242,1.0151,0.4560,-0.3527,19.0311,48.2833,RFEnsemble
Metrosideros umbellata,Is,1104.7372,0.6862,0.7202,350.9123,2.3543,1526.9196,10.9403,0.4337,1.8128,0.1173,0.0388,0.6192,2.3914,6.8555,RFEnsemble
Metrosideros umbellata,Ds,1134.6827,0.7693,0.6332,187.6498,3.1998,425.7464,6.9214,0.3627,1.8751,0.1027,0.0230,0.9357,1.6149,7.1575,RFEnsemble
Metrosideros umbellata,I,1395.5785,-0.1007,-0.0152,640.3833,-42.0852,2994.5266,19.1830,4.7120,10.4328,1.0477,0.4265,-0.7852,19.4526,37.7178,RFEnsemble
Metrosideros umbellata,Gr,-131.3762,-0.1476,-0.0867,344.8482,-0.6726,1592.7446,8.2864,-0.6751,-2.0913,0.0327,-0.0294,-0.4326,0.4215,-10.5655,RFEnsemble
Coprosma propinqua,D,1505.3209,-0.1520,-0.2252,303.5233,-41.5873,2565.4075,11.8831,4.8961,12.2284,0.9816,0.4522,-0.8657,19.4789,42.0372,RFEnsemble
Coprosma propinqua,Is,1486.4865,0.7120,0.6925,428.6498,3.4125,941.5850,10.3997,0.4679,2.8235,0.1116,0.0399,0.9920,2.5778,10.0826,RFEnsemble
Coprosma propinqua,Ds,1467.2106,0.6976,0.6630,233.3474,2.3701,1210.1948,9.8126,0.4995,1.5069,0.1092,0.0275,0.5006,2.0848,8.1751,RFEnsemble
Coprosma propinqua,I,1530.3673,0.0885,0.0747,516.7757,-41.9900,1475.7996,11.8438,5.3256,11.2220,1.0241,0.4469,0.1311,20.4686,45.8927,RFEnsemble
Coprosma propinqua,Gr,25.0464,0.2405,0.2998,213.2524,-0.4027,-1089.6079,-0.0393,0.4296,-1.0064,0.0425,-0.0053,0.9968,0.9897,3.8555,RFEnsemble
Ixerba brexioides,D,1298.7798,0.0237,-0.0774,247.2487,-37.9501,1730.6703,9.5594,5.3727,14.3020,1.0440,0.4537,0.3734,18.5452,46.5725,RFEnsemble
Ixerba brexioides,Is,987.2548,0.7400,0.6676,207.0925,1.2273,482.0231,8.0206,0.4357,1.0780,0.0897,0.0210,0.2501,1.4572,5.7123,RFEnsemble
Ixerba brexioides,Ds,972.3519,0.6807,0.7281,181.8360,1.5682,379.1215,6.4345,0.2471,1.3060,0.1065,0.0254,0.9277,1.7811,6.3391,RFEnsemble
Ixerba brexioides,I,1394.0927,-0.0267,0.0774,579.7758,-39.6935,1746.0408,14.0271,5.1255,11.6452,1.0645,0.4423,-0.9684,19.6602,42.4061,RFEnsemble
Ixerba brexioides,Gr,95.3129,-0.0504,0.1548,332.5272,-1.7434,15.3705,4.4677,-0.2472,-2.6569,0.0205,-0.0114,-1.3418,1.1150,-4.1664,RFEnsemble
Carpodetus serratus,D,1650.3844,-0.0868,-0.2457,138.2946,-43.3240,1290.6122,5.2501,5.4310,12.2429,0.9870,0.4732,0.5840,18.8101,44.9062,RFEnsemble
Carpodetus serratus,Is,1239.1389,0.7204,0.6918,353.1402,2.7828,1138.4282,10.5349,0.4940,2.3433,0.1142,0.0337,0.8591,2.1693,8.7324,RFEnsemble
Carpodetus serratus,Ds,1453.6133,0.6806,0.6848,115.2432,4.0065,596.0251,4.5739,0.5007,2.1227,0.0841,0.0201,0.8118,1.8852,8.0823,RFEnsemble
Carpodetus serratus,I,1367.5275,0.0442,0.0195,528.3126,-41.2312,1932.1281,14.5321,5.0923,11.4313,1.0222,0.4434,-0.5115,20.1638,43.9330,RFEnsemble
Carpodetus serratus,Gr,-282.8569,0.1310,0.2652,390.0180,2.0928,641.5159,9.2820,-0.3387,-0.8116,0.0352,-0.0298,-1.0955,1.3538,-0.9732,RFEnsemble
Coprosma linariifolia,D,1423.6960,0.0471,-0.0590,209.6543,-40.1006,1431.6069,6.9952,5.4850,13.4916,1.0058,0.4623,0.1378,19.3954,47.8984,RFEnsemble
Coprosma linariifolia,Is,1169.9579,0.6989,0.7114,363.7231,2.1441,1198.2072,10.2414,0.5088,1.8845,0.1152,0.0354,0.6864,2.1687,9.5264,RFEnsemble
Coprosma linariifolia,Ds,1082.3844,0.7584,0.6474,152.8397,3.0445,472.9982,5.6661,0.3106,1.5278,0.0989,0.0214,0.9905,1.8506,7.5732,RFEnsemble
Coprosma linariifolia,I,1448.8193,-0.0687,-0.0288,781.1525,-42.6149,2071.4084,19.8246,4.9040,9.6691,1.0529,0.4271,-0.7271,20.6044,41.3193,RFEnsemble
Coprosma linariifolia,Gr,25.1233,-0.1157,0.0302,571.4982,-2.5143,639.8015,12.8294,-0.5810,-3.8225,0.0471,-0.0352,-0.8648,1.2091,-6.5790,RFEnsemble
Cyathea medullaris,D,1529.7018,0.0541,0.0719,304.6794,-38.6545,1552.2473,9.9597,5.2602,13.6530,1.0052,0.4624,-0.0738,19.6599,47.7718,RFEnsemble
Cyathea medullaris,Is,1712.3768,0.6676,0.7310,209.5946,1.8981,911.6339,8.5488,0.3440,1.2056,0.1027,0.0260,0.9868,1.9469,6.7028,RFEnsemble
Cyathea medullaris,Ds,1395.4900,0.7309,0.6765,279.1956,2.2743,516.1161,8.1324,0.4748,2.1445,0.1072,0.0244,0.9976,1.9651,7.9043,RFEnsemble
Cyathea medullaris,I,1533.1317,-0.1287,-0.0579,320.0016,-39.7017,2122.3511,10.5039,5.2599,13.0761,1.0273,0.4420,-0.1621,18.4998,43.7674,RFEnsemble
Cyathea medullaris,Gr,3.4299,-0.1827,-0.1298,15.3222,-1.0473,570.1038,0.5442,-0.0003,-0.5769,0.0220,-0.0204,-0.0883,-1.1600,-4.0045,RFEnsemble
Beilschmiedia tawa,D,1342.4412,-0.4721,-0.1899,125.9438,-40.7563,1537.8469,12.1676,5.3571,14.0045,0.8983,0.4338,-0.3339,17.6461,51.2327,RFEnsemble
Beilschmiedia tawa,Is,1222.0162,0.7122,0.7020,259.9987,1.8029,516.7239,7.7157,0.3977,1.7745,0.1047,0.0250,0.9860,1.8941,7.3753,RFEnsemble
Beilschmiedia tawa,Ds,1791.3848,0.5685,0.6465,125.3816,1.9818,568.9491,6.8338,0.3465,1.0036,0.1328,0.0297,0.9426,2.4978,8.7078,RFEnsemble
Beilschmiedia tawa,I,1392.1672,0.0039,0.0016,325.5070,-39.0740,1645.7587,9.6517,5.2949,13.2911,1.0118,0.4564,-0.1669,19.6657,46.1380,RFEnsemble
Beilschmiedia tawa,Gr,49.7261,0.4759,0.1915,199.5632,1.6823,107.9117,-2.5159,-0.0621,-0.7134,0.1136,0.0226,0.1670,2.0196,-5.0947,RFEnsemble
Pittosporum tenuifolium,D,1747.3822,0.1098,-0.0104,1021.3895,-42.3077,2515.3489,29.0743,4.6795,8.8419,1.0999,0.4188,-0.9852,20.5839,39.4196,RFEnsemble
Pittosporum tenuifolium,Is,1649.7415,0.7185,0.6940,275.7758,3.2912,787.2688,7.6667,0.4459,2.1894,0.1030,0.0283,0.9994,2.3859,9.1238,RFEnsemble
Pittosporum tenuifolium,Ds,1084.3290,0.6964,0.7091,270.2125,1.3824,1283.8246,5.8996,0.5087,1.5508,0.0832,0.0251,0.1716,1.2587,7.8406,RFEnsemble
Pittosporum tenuifolium,I,1511.3845,0.0282,-0.0351,318.9206,-41.2276,1488.8193,8.5317,5.3529,12.4336,0.9941,0.4590,0.0310,20.1778,47.2419,RFEnsemble
Pittosporum tenuifolium,Gr,-235.9977,-0.0816,-0.0247,-702.4690,1.0801,-1026.5295,-20.5425,0.6733,3.5917,-0.1058,0.0401,1.0161,-0.4062,7.8223,RFEnsemble
Fuchsia excorticata,D,1906.4373,-0.0087,-0.1277,286.9799,-42.5834,2041.3578,12.0171,5.1456,11.9281,1.0171,0.4356,-0.0986,17.1696,41.1719,RFEnsemble
Fuchsia excorticata,Is,1093.6735,0.7282,0.6850,360.7758,2.6190,1060.5294,10.3653,0.5186,2.3292,0.1020,0.0305,0.9511,1.6506,9.7936,RFEnsemble
Fuchsia excorticata,Ds,1734.1937,0.6938,0.7087,306.2727,3.8335,1253.4540,10.2669,0.5024,2.3134,0.1215,0.0471,0.9951,1.8357,7.4543,RFEnsemble
Fuchsia excorticata,I,1301.2142,0.0170,0.0103,512.9216,-41.4389,1671.4968,12.4408,5.2201,11.4622,1.0086,0.4536,-0.3087,21.3383,46.9458,RFEnsemble
Fuchsia excorticata,Gr,-605.2230,0.0257,0.1380,225.9417,1.1445,-369.8610,0.4237,0.0744,-0.4659,-0.0085,0.0181,-0.2101,4.1687,5.7739,RFEnsemble
Dracophyllum traversii,D,1355.0826,-0.0780,0.0248,367.5821,-40.6750,1868.4004,11.8997,5.1761,12.3717,1.0178,0.4530,-0.4477,19.6613,44.1937,RFEnsemble
Dracophyllum traversii,Is,1038.9606,0.7404,0.6650,267.7174,1.5099,1722.7682,7.9928,0.4661,1.3270,0.0947,0.0358,0.4509,1.9617,7.8927,RFEnsemble
Dracophyllum traversii,Ds,1108.5457,0.7090,0.7004,213.9677,2.6761,892.8015,7.7936,0.4487,1.5743,0.1058,0.0235,0.8939,1.9989,7.3019,RFEnsemble
Dracophyllum traversii,I,1789.7367,0.0969,-0.0090,1128.4062,-43.4702,2908.0444,27.1674,4.8031,7.7978,1.1162,0.3938,-0.8927,19.7026,36.7841,RFEnsemble
Dracophyllum traversii,Gr,434.6541,0.1750,-0.0338,760.8241,-2.7953,1039.6440,15.2677,-0.3729,-4.5738,0.0984,-0.0593,-0.4450,0.0412,-7.4096,RFEnsemble
Dacrydium cupressinum,D,2085.8894,0.9057,0.3452,548.4346,-36.2248,1930.2136,13.0339,5.1051,13.9465,1.2597,0.3998,1.0000,15.4639,43.3895,RFEnsemble
Dacrydium cupressinum,Is,1376.3492,0.7127,0.7008,288.6912,2.9678,927.5562,8.7797,0.4757,2.1258,0.1069,0.0266,0.9714,2.1010,8.1059,RFEnsemble
Dacrydium cupressinum,Ds,2534.7412,0.1034,0.2233,138.9050,0.8540,504.5118,4.7317,0.2747,1.1979,0.0322,0.0276,0.0000,1.7341,8.3784,RFEnsemble
Dacrydium cupressinum,I,1448.8062,-0.0297,-0.0007,360.6037,-40.5166,1769.1025,11.0453,5.2111,12.5137,1.0077,0.4550,-0.2351,19.7129,45.3005,RFEnsemble
Dacrydium cupressinum,Gr,-637.0833,-0.9354,-0.3458,-187.8308,-4.2918,-161.1111,-1.9886,0.1060,-1.4328,-0.2520,0.0551,-1.2351,4.2490,1.9110,RFEnsemble
Pseudopanax arboreus,D,1173.6285,0.2205,0.2584,489.5316,-40.5129,2427.0156,12.2841,4.8857,11.8018,0.9946,0.4471,-0.3872,19.9975,41.8869,RFEnsemble
Pseudopanax arboreus,Is,1620.5172,0.7034,0.7004,366.9576,3.0235,661.2526,9.5590,0.4312,2.3348,0.1111,0.0352,0.9958,2.4516,9.8388,RFEnsemble
Pseudopanax arboreus,Ds,1092.3730,0.7412,0.5789,380.0323,2.8414,985.3982,11.1940,0.5087,2.6120,0.1019,0.0287,0.9220,1.8064,7.0704,RFEnsemble
Pseudopanax arboreus,I,1600.1372,0.0045,-0.1209,429.0055,-41.8931,1359.4482,11.1657,5.3905,11.6945,1.0158,0.4529,-0.0977,20.4449,47.3144,RFEnsemble
Pseudopanax arboreus,Gr,426.5087,-0.2160,-0.3793,-60.5262,-1.3802,-1067.5674,-1.1185,0.5047,-0.1073,0.0212,0.0058,0.2895,0.4474,5.4275,RFEnsemble
Coprosma parviflora,D,1749.7952,-0.0836,-0.0255,645.1384,-41.0988,2285.9512,15.8225,5.0044,10.8889,1.0757,0.4339,-0.4816,19.6270,39.4383,RFEnsemble
Coprosma parviflora,Is,944.7025,0.6193,0.7812,266.0345,2.8774,487.5516,7.9911,0.3772,1.9966,0.0819,0.0278,0.9979,2.3545,8.7285,RFEnsemble
Coprosma parviflora,Ds,1218.8082,0.7618,0.6419,412.1880,2.8344,1248.4590,10.5740,0.4808,2.6114,0.1037,0.0352,0.8764,1.9299,7.5255,RFEnsemble
Coprosma parviflora,I,820.5338,0.0712,0.0330,280.2890,-42.4386,1103.1842,7.4952,5.5319,12.1561,0.9433,0.4670,0.0652,21.0514,53.0727,RFEnsemble
Coprosma parviflora,Gr,-929.2614,0.1548,0.0585,-364.8495,-1.3398,-1182.7670,-8.3273,0.5275,1.2672,-0.1324,0.0332,0.5468,1.4244,13.6344,RFEnsemble
Elaeocarpus dentatus,D,1712.0959,0.7093,-0.1700,359.9359,-38.4611,1414.6315,8.2837,5.3675,13.5231,1.0500,0.4552,0.2225,19.5611,46.3076,RFEnsemble
Elaeocarpus dentatus,Is,1168.1219,0.6925,0.7122,255.8067,1.8919,756.6619,8.2368,0.4337,1.6707,0.1062,0.0246,0.9297,1.8119,7.3994,RFEnsemble
Elaeocarpus dentatus,Ds,1323.7394,0.5105,0.4554,313.0763,2.4495,378.3284,6.6436,0.3792,2.1154,0.1480,0.0357,0.9749,2.7209,6.3807,RFEnsemble
